image_id,image_path,label,xmin,ymin,xmax,ymax,age,gender,confidence,source
424,images/img_00424.jpg,hand,17,196,62,385,,,0.98,synthetic_dataset
197,images/img_00197.jpg,bottle,291,219,480,303,,,0.92,synthetic_dataset
475,images/img_00475.jpg,phone,248,336,443,499,,,0.99,synthetic_dataset
942,images/img_00942.jpg,phone,246,112,422,263,,,0.96,synthetic_dataset
358,images/img_00358.jpg,keyboard,67,53,141,106,,,0.9,synthetic_dataset
1139,images/img_01139.jpg,mouse,297,279,472,394,,,0.92,synthetic_dataset
237,images/img_00237.jpg,laptop,216,231,344,357,,,0.86,synthetic_dataset
816,images/img_00816.jpg,bottle,348,285,428,459,,,0.89,synthetic_dataset
1957,images/img_01957.jpg,keyboard,285,331,431,504,,,0.87,synthetic_dataset
72,images/img_00072.jpg,face,152,136,193,235,7,female,0.98,synthetic_dataset
611,images/img_00611.jpg,laptop,85,105,188,208,,,0.97,synthetic_dataset
510,images/img_00510.jpg,person,144,159,251,344,,,0.88,synthetic_dataset
10,images/img_00010.jpg,phone,229,22,394,61,,,0.9,synthetic_dataset
764,images/img_00764.jpg,phone,36,212,189,241,,,0.89,synthetic_dataset
563,images/img_00563.jpg,keyboard,114,341,206,519,,,0.88,synthetic_dataset
191,images/img_00191.jpg,face,308,157,360,254,54,male,0.98,synthetic_dataset
539,images/img_00539.jpg,mouse,36,71,171,101,,,0.87,synthetic_dataset
1757,images/img_01757.jpg,face,276,387,364,418,44,female,0.93,synthetic_dataset
1681,images/img_01681.jpg,hand,124,262,268,310,,,0.89,synthetic_dataset
603,images/img_00603.jpg,bottle,142,365,218,488,,,0.85,synthetic_dataset
1877,images/img_01877.jpg,face,220,45,324,71,10,female,0.89,synthetic_dataset
574,images/img_00574.jpg,bottle,310,323,423,384,,,0.91,synthetic_dataset
1259,images/img_01259.jpg,hand,16,209,151,312,,,0.96,synthetic_dataset
1422,images/img_01422.jpg,mouse,331,199,450,392,,,0.94,synthetic_dataset
1222,images/img_01222.jpg,phone,72,327,168,432,,,0.9,synthetic_dataset
843,images/img_00843.jpg,person,203,58,395,122,,,0.95,synthetic_dataset
442,images/img_00442.jpg,laptop,125,397,277,554,,,0.94,synthetic_dataset
1582,images/img_01582.jpg,bottle,159,52,239,92,,,0.87,synthetic_dataset
696,images/img_00696.jpg,laptop,47,89,191,276,,,0.87,synthetic_dataset
622,images/img_00622.jpg,hand,278,314,369,420,,,0.89,synthetic_dataset
254,images/img_00254.jpg,keyboard,14,266,167,301,,,0.87,synthetic_dataset
440,images/img_00440.jpg,laptop,318,286,476,359,,,0.95,synthetic_dataset
489,images/img_00489.jpg,book,300,390,415,432,,,1.0,synthetic_dataset
1014,images/img_01014.jpg,cup,313,316,504,439,,,0.88,synthetic_dataset
1526,images/img_01526.jpg,person,207,313,394,444,,,0.95,synthetic_dataset
1101,images/img_01101.jpg,face,42,286,190,383,57,female,0.98,synthetic_dataset
88,images/img_00088.jpg,bottle,79,87,103,179,,,0.89,synthetic_dataset
1750,images/img_01750.jpg,hand,320,123,364,288,,,0.87,synthetic_dataset
667,images/img_00667.jpg,laptop,205,213,349,353,,,1.0,synthetic_dataset
872,images/img_00872.jpg,face,226,80,313,213,19,male,0.85,synthetic_dataset
1353,images/img_01353.jpg,person,312,226,360,295,,,0.95,synthetic_dataset
215,images/img_00215.jpg,laptop,355,266,527,304,,,0.91,synthetic_dataset
1944,images/img_01944.jpg,book,55,241,163,436,,,0.97,synthetic_dataset
950,images/img_00950.jpg,person,175,267,222,399,,,0.86,synthetic_dataset
309,images/img_00309.jpg,mouse,400,78,599,144,,,0.93,synthetic_dataset
344,images/img_00344.jpg,laptop,331,13,439,58,,,0.87,synthetic_dataset
712,images/img_00712.jpg,mouse,335,75,377,139,,,0.93,synthetic_dataset
983,images/img_00983.jpg,face,44,33,116,182,56,female,0.89,synthetic_dataset
1933,images/img_01933.jpg,person,15,375,53,430,,,0.85,synthetic_dataset
917,images/img_00917.jpg,mouse,263,398,422,480,,,0.97,synthetic_dataset
622,images/img_00622.jpg,book,314,303,456,476,,,0.89,synthetic_dataset
1769,images/img_01769.jpg,phone,58,2,163,153,,,0.86,synthetic_dataset
1540,images/img_01540.jpg,mouse,304,370,361,560,,,0.87,synthetic_dataset
1502,images/img_01502.jpg,phone,295,144,387,276,,,0.89,synthetic_dataset
1702,images/img_01702.jpg,bottle,327,230,386,256,,,0.97,synthetic_dataset
163,images/img_00163.jpg,keyboard,125,172,206,256,,,0.85,synthetic_dataset
1433,images/img_01433.jpg,book,231,108,269,255,,,0.86,synthetic_dataset
927,images/img_00927.jpg,bottle,0,251,140,324,,,0.89,synthetic_dataset
1771,images/img_01771.jpg,keyboard,61,353,100,478,,,0.91,synthetic_dataset
1460,images/img_01460.jpg,bottle,173,107,327,158,,,0.99,synthetic_dataset
251,images/img_00251.jpg,hand,45,319,210,474,,,0.97,synthetic_dataset
1048,images/img_01048.jpg,person,240,90,379,241,,,0.89,synthetic_dataset
363,images/img_00363.jpg,cup,83,156,282,316,,,0.94,synthetic_dataset
95,images/img_00095.jpg,person,251,234,334,418,,,0.86,synthetic_dataset
1064,images/img_01064.jpg,phone,122,183,246,375,,,0.99,synthetic_dataset
8,images/img_00008.jpg,phone,342,359,531,519,,,1.0,synthetic_dataset
156,images/img_00156.jpg,bottle,263,283,360,483,,,0.91,synthetic_dataset
900,images/img_00900.jpg,book,109,193,296,389,,,0.95,synthetic_dataset
762,images/img_00762.jpg,laptop,304,378,392,530,,,0.92,synthetic_dataset
986,images/img_00986.jpg,person,188,79,360,103,,,0.93,synthetic_dataset
592,images/img_00592.jpg,keyboard,180,120,335,144,,,0.85,synthetic_dataset
1391,images/img_01391.jpg,face,181,276,341,296,37,male,0.87,synthetic_dataset
812,images/img_00812.jpg,bottle,231,210,349,286,,,0.97,synthetic_dataset
1208,images/img_01208.jpg,bottle,291,345,376,376,,,0.95,synthetic_dataset
1395,images/img_01395.jpg,phone,170,193,327,391,,,0.98,synthetic_dataset
1321,images/img_01321.jpg,hand,382,44,404,166,,,0.91,synthetic_dataset
1245,images/img_01245.jpg,book,114,28,283,134,,,0.98,synthetic_dataset
1471,images/img_01471.jpg,laptop,321,256,417,316,,,0.98,synthetic_dataset
1108,images/img_01108.jpg,cup,266,297,334,410,,,0.95,synthetic_dataset
1808,images/img_01808.jpg,book,187,285,279,422,,,0.94,synthetic_dataset
314,images/img_00314.jpg,laptop,336,191,461,302,,,0.88,synthetic_dataset
126,images/img_00126.jpg,face,170,216,265,266,41,male,0.94,synthetic_dataset
323,images/img_00323.jpg,face,130,145,312,310,45,female,0.98,synthetic_dataset
1070,images/img_01070.jpg,bottle,276,216,363,273,,,0.97,synthetic_dataset
1018,images/img_01018.jpg,book,65,175,227,197,,,0.91,synthetic_dataset
913,images/img_00913.jpg,book,192,231,338,332,,,0.91,synthetic_dataset
786,images/img_00786.jpg,mouse,10,296,129,372,,,0.9,synthetic_dataset
1504,images/img_01504.jpg,laptop,90,174,229,199,,,0.9,synthetic_dataset
1078,images/img_01078.jpg,hand,206,22,340,70,,,0.91,synthetic_dataset
1044,images/img_01044.jpg,person,22,292,58,337,,,0.92,synthetic_dataset
8,images/img_00008.jpg,mouse,171,294,362,332,,,0.86,synthetic_dataset
1668,images/img_01668.jpg,cup,66,63,261,225,,,0.86,synthetic_dataset
505,images/img_00505.jpg,hand,94,311,244,465,,,0.91,synthetic_dataset
553,images/img_00553.jpg,keyboard,148,211,329,334,,,0.98,synthetic_dataset
1955,images/img_01955.jpg,book,8,59,31,219,,,0.89,synthetic_dataset
1730,images/img_01730.jpg,cup,67,312,194,504,,,0.95,synthetic_dataset
1061,images/img_01061.jpg,cup,385,0,574,30,,,0.92,synthetic_dataset
1108,images/img_01108.jpg,mouse,316,152,393,332,,,0.86,synthetic_dataset
936,images/img_00936.jpg,phone,4,174,157,254,,,0.92,synthetic_dataset
1963,images/img_01963.jpg,bottle,90,91,169,245,,,0.95,synthetic_dataset
963,images/img_00963.jpg,hand,311,191,471,236,,,0.86,synthetic_dataset
822,images/img_00822.jpg,phone,365,5,475,180,,,0.87,synthetic_dataset
823,images/img_00823.jpg,book,100,285,162,361,,,0.98,synthetic_dataset
1518,images/img_01518.jpg,keyboard,30,137,228,189,,,0.98,synthetic_dataset
31,images/img_00031.jpg,face,143,148,335,177,13,male,0.97,synthetic_dataset
536,images/img_00536.jpg,person,265,364,398,429,,,0.92,synthetic_dataset
860,images/img_00860.jpg,hand,23,294,174,469,,,0.86,synthetic_dataset
1308,images/img_01308.jpg,person,133,232,314,276,,,0.98,synthetic_dataset
494,images/img_00494.jpg,mouse,365,53,544,161,,,0.93,synthetic_dataset
1129,images/img_01129.jpg,face,304,17,480,175,48,male,0.87,synthetic_dataset
261,images/img_00261.jpg,keyboard,285,386,339,504,,,0.85,synthetic_dataset
490,images/img_00490.jpg,laptop,245,277,354,371,,,0.92,synthetic_dataset
318,images/img_00318.jpg,bottle,157,302,352,380,,,0.94,synthetic_dataset
370,images/img_00370.jpg,laptop,314,220,423,306,,,0.97,synthetic_dataset
824,images/img_00824.jpg,cup,350,356,484,484,,,0.92,synthetic_dataset
1540,images/img_01540.jpg,hand,120,336,305,472,,,0.95,synthetic_dataset
1042,images/img_01042.jpg,keyboard,61,326,186,360,,,0.96,synthetic_dataset
845,images/img_00845.jpg,phone,91,16,193,80,,,0.99,synthetic_dataset
1028,images/img_01028.jpg,person,2,144,32,271,,,0.93,synthetic_dataset
1188,images/img_01188.jpg,hand,256,356,354,462,,,0.88,synthetic_dataset
1271,images/img_01271.jpg,book,368,355,545,529,,,0.9,synthetic_dataset
138,images/img_00138.jpg,bottle,235,208,384,374,,,1.0,synthetic_dataset
1814,images/img_01814.jpg,bottle,148,56,237,103,,,0.89,synthetic_dataset
996,images/img_00996.jpg,laptop,162,391,242,550,,,1.0,synthetic_dataset
88,images/img_00088.jpg,face,46,239,135,319,6,male,0.94,synthetic_dataset
1827,images/img_01827.jpg,phone,364,69,539,99,,,0.99,synthetic_dataset
1223,images/img_01223.jpg,mouse,335,219,397,316,,,0.94,synthetic_dataset
1111,images/img_01111.jpg,phone,400,140,538,242,,,0.99,synthetic_dataset
1773,images/img_01773.jpg,hand,341,146,401,310,,,0.86,synthetic_dataset
869,images/img_00869.jpg,person,336,299,425,498,,,0.97,synthetic_dataset
1030,images/img_01030.jpg,hand,390,241,450,278,,,0.96,synthetic_dataset
1594,images/img_01594.jpg,phone,41,334,126,464,,,0.93,synthetic_dataset
1599,images/img_01599.jpg,bottle,146,356,219,394,,,0.92,synthetic_dataset
1892,images/img_01892.jpg,hand,132,230,329,316,,,0.97,synthetic_dataset
1400,images/img_01400.jpg,book,323,84,361,145,,,0.96,synthetic_dataset
1528,images/img_01528.jpg,bottle,122,210,250,233,,,0.97,synthetic_dataset
559,images/img_00559.jpg,laptop,123,34,162,209,,,0.91,synthetic_dataset
1525,images/img_01525.jpg,laptop,130,75,199,243,,,0.96,synthetic_dataset
46,images/img_00046.jpg,phone,19,239,112,337,,,0.95,synthetic_dataset
1642,images/img_01642.jpg,cup,166,222,258,391,,,0.88,synthetic_dataset
411,images/img_00411.jpg,face,349,385,481,410,34,female,0.95,synthetic_dataset
669,images/img_00669.jpg,book,352,382,502,445,,,0.95,synthetic_dataset
349,images/img_00349.jpg,laptop,249,336,305,372,,,0.94,synthetic_dataset
371,images/img_00371.jpg,laptop,313,169,479,274,,,0.92,synthetic_dataset
1239,images/img_01239.jpg,person,351,347,415,473,,,0.9,synthetic_dataset
200,images/img_00200.jpg,person,322,262,406,444,,,0.88,synthetic_dataset
291,images/img_00291.jpg,person,291,320,436,442,,,0.85,synthetic_dataset
87,images/img_00087.jpg,laptop,54,181,142,259,,,0.93,synthetic_dataset
826,images/img_00826.jpg,phone,249,294,431,375,,,0.89,synthetic_dataset
48,images/img_00048.jpg,laptop,227,212,270,273,,,0.97,synthetic_dataset
358,images/img_00358.jpg,person,367,222,567,409,,,0.96,synthetic_dataset
354,images/img_00354.jpg,hand,324,75,440,229,,,0.97,synthetic_dataset
321,images/img_00321.jpg,laptop,177,317,370,495,,,0.85,synthetic_dataset
395,images/img_00395.jpg,face,393,146,432,264,59,male,0.87,synthetic_dataset
306,images/img_00306.jpg,hand,259,266,436,301,,,0.92,synthetic_dataset
1601,images/img_01601.jpg,cup,2,294,39,489,,,0.97,synthetic_dataset
1275,images/img_01275.jpg,keyboard,85,259,214,358,,,0.99,synthetic_dataset
1144,images/img_01144.jpg,cup,152,10,236,139,,,0.85,synthetic_dataset
148,images/img_00148.jpg,laptop,144,123,293,305,,,0.95,synthetic_dataset
359,images/img_00359.jpg,keyboard,116,242,294,380,,,0.97,synthetic_dataset
484,images/img_00484.jpg,person,252,400,301,451,,,0.99,synthetic_dataset
1205,images/img_01205.jpg,cup,192,292,357,437,,,0.93,synthetic_dataset
1330,images/img_01330.jpg,mouse,148,334,330,361,,,0.98,synthetic_dataset
1876,images/img_01876.jpg,cup,329,258,370,351,,,0.99,synthetic_dataset
1312,images/img_01312.jpg,book,276,295,408,437,,,0.97,synthetic_dataset
517,images/img_00517.jpg,bottle,14,107,116,220,,,0.91,synthetic_dataset
1395,images/img_01395.jpg,person,50,377,70,463,,,0.97,synthetic_dataset
1835,images/img_01835.jpg,phone,113,254,281,344,,,0.92,synthetic_dataset
71,images/img_00071.jpg,hand,31,179,186,273,,,0.99,synthetic_dataset
1705,images/img_01705.jpg,mouse,53,12,100,107,,,0.88,synthetic_dataset
866,images/img_00866.jpg,phone,305,207,458,289,,,0.88,synthetic_dataset
1533,images/img_01533.jpg,keyboard,77,277,105,450,,,0.96,synthetic_dataset
256,images/img_00256.jpg,face,328,281,351,463,7,male,0.97,synthetic_dataset
616,images/img_00616.jpg,laptop,151,385,269,434,,,0.89,synthetic_dataset
441,images/img_00441.jpg,book,338,174,380,361,,,0.95,synthetic_dataset
566,images/img_00566.jpg,face,36,240,96,374,8,female,0.96,synthetic_dataset
183,images/img_00183.jpg,keyboard,295,194,430,243,,,0.92,synthetic_dataset
35,images/img_00035.jpg,keyboard,268,399,407,541,,,0.97,synthetic_dataset
540,images/img_00540.jpg,bottle,244,112,367,237,,,0.9,synthetic_dataset
1840,images/img_01840.jpg,book,71,228,166,306,,,0.99,synthetic_dataset
1913,images/img_01913.jpg,person,199,130,254,290,,,0.97,synthetic_dataset
122,images/img_00122.jpg,face,335,393,474,442,54,male,0.89,synthetic_dataset
877,images/img_00877.jpg,cup,366,186,540,265,,,0.93,synthetic_dataset
451,images/img_00451.jpg,laptop,79,390,118,454,,,0.98,synthetic_dataset
1136,images/img_01136.jpg,phone,196,18,259,48,,,0.96,synthetic_dataset
1934,images/img_01934.jpg,bottle,120,331,260,398,,,0.96,synthetic_dataset
1028,images/img_01028.jpg,laptop,273,59,297,154,,,0.9,synthetic_dataset
1446,images/img_01446.jpg,keyboard,274,81,329,277,,,0.87,synthetic_dataset
148,images/img_00148.jpg,keyboard,203,279,272,457,,,0.95,synthetic_dataset
81,images/img_00081.jpg,laptop,375,386,408,456,,,0.94,synthetic_dataset
1135,images/img_01135.jpg,laptop,145,199,300,380,,,0.85,synthetic_dataset
1765,images/img_01765.jpg,face,173,336,268,415,60,male,0.92,synthetic_dataset
367,images/img_00367.jpg,bottle,393,208,537,281,,,0.99,synthetic_dataset
1685,images/img_01685.jpg,hand,370,66,453,151,,,0.93,synthetic_dataset
1088,images/img_01088.jpg,keyboard,283,126,361,245,,,0.9,synthetic_dataset
187,images/img_00187.jpg,phone,176,364,328,531,,,0.95,synthetic_dataset
1572,images/img_01572.jpg,keyboard,168,133,366,157,,,0.89,synthetic_dataset
458,images/img_00458.jpg,phone,372,346,433,406,,,0.87,synthetic_dataset
222,images/img_00222.jpg,face,267,390,432,414,25,female,0.98,synthetic_dataset
1635,images/img_01635.jpg,book,308,362,503,465,,,0.86,synthetic_dataset
888,images/img_00888.jpg,book,261,369,425,473,,,0.98,synthetic_dataset
1111,images/img_01111.jpg,mouse,24,60,86,166,,,0.9,synthetic_dataset
1500,images/img_01500.jpg,phone,36,11,113,202,,,0.88,synthetic_dataset
1555,images/img_01555.jpg,cup,29,398,138,551,,,0.9,synthetic_dataset
1866,images/img_01866.jpg,laptop,171,59,291,202,,,0.94,synthetic_dataset
427,images/img_00427.jpg,hand,155,113,216,194,,,0.95,synthetic_dataset
1355,images/img_01355.jpg,cup,202,353,265,489,,,0.95,synthetic_dataset
1748,images/img_01748.jpg,cup,141,349,169,419,,,0.96,synthetic_dataset
393,images/img_00393.jpg,face,160,5,197,50,47,male,0.88,synthetic_dataset
1601,images/img_01601.jpg,book,13,303,43,440,,,0.86,synthetic_dataset
523,images/img_00523.jpg,bottle,270,147,378,278,,,0.87,synthetic_dataset
1487,images/img_01487.jpg,laptop,168,2,342,27,,,0.94,synthetic_dataset
549,images/img_00549.jpg,phone,85,340,131,532,,,0.92,synthetic_dataset
67,images/img_00067.jpg,book,25,112,93,201,,,1.0,synthetic_dataset
1809,images/img_01809.jpg,bottle,296,350,456,441,,,0.94,synthetic_dataset
1528,images/img_01528.jpg,phone,364,207,500,233,,,0.87,synthetic_dataset
1197,images/img_01197.jpg,cup,386,279,489,344,,,0.89,synthetic_dataset
1830,images/img_01830.jpg,keyboard,278,203,382,315,,,0.86,synthetic_dataset
1070,images/img_01070.jpg,keyboard,55,89,198,265,,,0.9,synthetic_dataset
993,images/img_00993.jpg,keyboard,256,25,281,111,,,1.0,synthetic_dataset
1067,images/img_01067.jpg,bottle,332,79,361,193,,,0.94,synthetic_dataset
65,images/img_00065.jpg,bottle,248,168,442,362,,,0.95,synthetic_dataset
842,images/img_00842.jpg,person,276,362,401,420,,,0.91,synthetic_dataset
1617,images/img_01617.jpg,book,309,379,346,417,,,0.93,synthetic_dataset
1938,images/img_01938.jpg,hand,54,351,217,468,,,0.85,synthetic_dataset
217,images/img_00217.jpg,cup,230,96,265,153,,,0.98,synthetic_dataset
426,images/img_00426.jpg,person,174,327,322,359,,,0.92,synthetic_dataset
386,images/img_00386.jpg,laptop,367,251,482,307,,,0.98,synthetic_dataset
1895,images/img_01895.jpg,keyboard,251,220,342,311,,,0.93,synthetic_dataset
1142,images/img_01142.jpg,bottle,258,107,330,204,,,1.0,synthetic_dataset
88,images/img_00088.jpg,bottle,91,375,112,466,,,0.88,synthetic_dataset
720,images/img_00720.jpg,keyboard,375,21,548,187,,,0.93,synthetic_dataset
679,images/img_00679.jpg,cup,372,366,461,534,,,0.93,synthetic_dataset
1661,images/img_01661.jpg,hand,344,109,532,130,,,0.95,synthetic_dataset
1137,images/img_01137.jpg,keyboard,310,383,472,513,,,0.89,synthetic_dataset
743,images/img_00743.jpg,person,76,193,151,344,,,0.96,synthetic_dataset
123,images/img_00123.jpg,bottle,195,268,275,436,,,0.89,synthetic_dataset
1459,images/img_01459.jpg,book,89,278,150,337,,,0.87,synthetic_dataset
1944,images/img_01944.jpg,hand,68,110,220,228,,,0.98,synthetic_dataset
1972,images/img_01972.jpg,cup,166,244,302,271,,,0.93,synthetic_dataset
1478,images/img_01478.jpg,laptop,342,269,374,402,,,0.98,synthetic_dataset
1665,images/img_01665.jpg,hand,236,119,359,300,,,0.93,synthetic_dataset
388,images/img_00388.jpg,face,130,325,195,375,23,female,0.88,synthetic_dataset
1865,images/img_01865.jpg,book,86,243,259,324,,,0.94,synthetic_dataset
272,images/img_00272.jpg,cup,128,56,198,253,,,1.0,synthetic_dataset
1623,images/img_01623.jpg,phone,298,175,487,318,,,0.96,synthetic_dataset
1858,images/img_01858.jpg,bottle,133,257,317,294,,,0.93,synthetic_dataset
268,images/img_00268.jpg,person,286,269,366,456,,,0.97,synthetic_dataset
647,images/img_00647.jpg,hand,316,351,402,389,,,0.89,synthetic_dataset
789,images/img_00789.jpg,phone,206,311,371,483,,,0.95,synthetic_dataset
783,images/img_00783.jpg,person,202,119,290,255,,,0.92,synthetic_dataset
1332,images/img_01332.jpg,phone,190,281,279,309,,,0.95,synthetic_dataset
1422,images/img_01422.jpg,person,264,1,361,52,,,0.97,synthetic_dataset
389,images/img_00389.jpg,hand,104,15,166,133,,,0.93,synthetic_dataset
425,images/img_00425.jpg,hand,149,317,278,396,,,1.0,synthetic_dataset
309,images/img_00309.jpg,book,57,279,227,399,,,0.9,synthetic_dataset
134,images/img_00134.jpg,phone,340,205,372,378,,,0.99,synthetic_dataset
810,images/img_00810.jpg,book,12,119,154,312,,,0.92,synthetic_dataset
1974,images/img_01974.jpg,bottle,397,336,540,455,,,0.85,synthetic_dataset
655,images/img_00655.jpg,cup,45,378,161,432,,,0.92,synthetic_dataset
247,images/img_00247.jpg,mouse,364,235,443,361,,,0.98,synthetic_dataset
1905,images/img_01905.jpg,phone,168,292,296,428,,,0.93,synthetic_dataset
1873,images/img_01873.jpg,book,320,183,485,322,,,0.92,synthetic_dataset
1831,images/img_01831.jpg,mouse,143,211,280,266,,,0.96,synthetic_dataset
668,images/img_00668.jpg,laptop,311,31,442,81,,,0.91,synthetic_dataset
1477,images/img_01477.jpg,laptop,61,104,93,185,,,0.87,synthetic_dataset
1524,images/img_01524.jpg,bottle,66,68,176,261,,,0.87,synthetic_dataset
1032,images/img_01032.jpg,bottle,153,378,343,405,,,0.89,synthetic_dataset
738,images/img_00738.jpg,person,135,215,190,373,,,0.88,synthetic_dataset
882,images/img_00882.jpg,person,245,296,434,448,,,0.94,synthetic_dataset
849,images/img_00849.jpg,cup,117,209,260,309,,,0.88,synthetic_dataset
678,images/img_00678.jpg,bottle,247,326,350,416,,,0.92,synthetic_dataset
1420,images/img_01420.jpg,book,148,265,212,355,,,0.98,synthetic_dataset
972,images/img_00972.jpg,laptop,157,368,314,444,,,0.92,synthetic_dataset
268,images/img_00268.jpg,book,56,319,121,408,,,0.92,synthetic_dataset
1821,images/img_01821.jpg,keyboard,4,362,101,410,,,0.96,synthetic_dataset
1745,images/img_01745.jpg,phone,109,341,182,530,,,0.85,synthetic_dataset
1908,images/img_01908.jpg,book,306,181,329,214,,,0.89,synthetic_dataset
43,images/img_00043.jpg,cup,269,139,295,312,,,0.88,synthetic_dataset
1673,images/img_01673.jpg,keyboard,84,68,254,201,,,0.92,synthetic_dataset
85,images/img_00085.jpg,cup,372,125,506,191,,,0.9,synthetic_dataset
1816,images/img_01816.jpg,cup,152,242,316,410,,,0.87,synthetic_dataset
1462,images/img_01462.jpg,book,319,345,452,533,,,0.9,synthetic_dataset
284,images/img_00284.jpg,bottle,302,364,355,388,,,0.9,synthetic_dataset
1564,images/img_01564.jpg,laptop,223,81,411,178,,,0.97,synthetic_dataset
1267,images/img_01267.jpg,mouse,39,358,231,448,,,0.96,synthetic_dataset
183,images/img_00183.jpg,phone,270,383,423,497,,,0.9,synthetic_dataset
190,images/img_00190.jpg,phone,66,182,98,207,,,0.86,synthetic_dataset
902,images/img_00902.jpg,phone,155,101,193,215,,,0.94,synthetic_dataset
206,images/img_00206.jpg,bottle,352,127,482,156,,,0.96,synthetic_dataset
320,images/img_00320.jpg,laptop,386,91,582,125,,,0.98,synthetic_dataset
819,images/img_00819.jpg,cup,85,134,140,239,,,0.87,synthetic_dataset
1637,images/img_01637.jpg,bottle,196,74,361,167,,,0.88,synthetic_dataset
924,images/img_00924.jpg,hand,279,219,425,379,,,0.87,synthetic_dataset
832,images/img_00832.jpg,person,200,351,361,416,,,1.0,synthetic_dataset
1411,images/img_01411.jpg,book,98,164,233,334,,,0.87,synthetic_dataset
